crash_id,state,county_fips,crash_date,crash_severity,vehicle_damage,injury_count,fatality_count,driver_behavior,road_condition,weather_condition,precipitation,visibility,temperature,wind_speed,median_income,unemployment_rate,population_density,educational_attainment,fraud_indicator,suspicious_claim_score,crash_weather_risk,socioeconomic_risk,geographic_risk,claim_fraud_flag,fraud_probability,high_risk_claim_flag
100001,NY,9788,2024-01-01,1,21000,2,0,Normal,Ice,Snow,4.13,3.7,4.6,23.8,62675,10.7,3563,74.6,0,18.6,0.56,9.23,7.61,0,0.062,0
100002,IL,1729,2024-01-02,4,6946,3,0,Impaired,Dry,Snow,0.05,1.2,54.8,39.8,107267,10.91,545,24.5,0,22.4,6.73,8.84,9.28,0,0.959,1
100003,FL,2366,2024-01-03,5,16835,3,0,Impaired,Snow,Fog,17.97,4.7,75.8,17.4,75563,6.49,5872,71.2,0,49.4,8.43,4.52,4.58,0,0.142,0
100004,IL,5493,2024-01-04,1,21063,1,0,Normal,Ice,Clear,18.31,3.0,27.8,36.8,46332,6.59,2122,12.1,0,96.2,3.99,8.57,6.59,0,0.305,0
100005,IL,1699,2024-01-05,1,16633,0,0,Normal,Snow,Fog,12.87,3.8,33.9,13.8,54177,2.77,7845,16.4,0,77.0,5.22,0.48,9.14,0,0.823,1
100006,CA,8187,2024-01-06,5,2182,1,0,Normal,Snow,Snow,4.03,8.4,67.5,2.2,103447,8.71,8579,69.8,0,48.8,4.02,1.49,0.9,0,0.219,0
100007,FL,1396,2024-01-07,3,6126,2,0,Impaired,Dry,Clear,2.09,9.4,98.8,8.2,92104,10.21,3999,54.1,0,33.8,3.0,4.14,7.7,0,0.243,0
100008,FL,8401,2024-01-08,2,7924,3,0,Speeding,Ice,Clear,0.48,2.3,89.1,16.7,119335,4.45,6083,62.3,1,54.9,8.03,4.83,6.17,1,0.642,0
100009,FL,9083,2024-01-09,4,13357,1,0,Distracted,Snow,Fog,4.14,4.0,64.1,8.8,115730,6.21,8378,24.7,0,74.8,2.72,2.64,5.99,0,0.276,0
100010,IL,5172,2024-01-10,2,12655,0,0,Distracted,Ice,Rain,22.27,9.3,80.3,0.0,39951,10.39,2605,47.6,1,78.4,7.23,3.56,2.93,1,0.217,0
100011,NY,5361,2024-01-11,5,17817,1,0,Impaired,Dry,Fog,6.04,1.1,40.1,36.6,63333,10.77,6420,61.6,0,32.5,2.06,1.63,6.84,0,0.254,0
100012,FL,3503,2024-01-12,1,20482,4,0,Distracted,Snow,Snow,8.86,1.4,70.5,33.8,56673,4.43,4465,53.9,0,72.1,2.5,4.89,7.95,0,0.491,0
100013,IL,1718,2024-01-13,1,11925,0,0,Normal,Dry,Snow,2.63,2.0,51.3,29.7,75870,7.51,6009,43.0,0,65.8,3.36,7.94,1.13,0,0.966,1
100014,CA,3783,2024-01-14,4,2480,2,0,Speeding,Ice,Snow,5.56,6.2,20.9,6.7,106101,3.92,9157,77.2,1,95.9,5.89,6.61,5.34,1,0.832,1
100015,NY,5947,2024-01-15,1,16022,3,0,Distracted,Ice,Snow,12.98,1.9,77.2,4.8,57821,3.02,6043,57.3,0,93.1,4.54,1.08,1.01,0,0.285,0
100016,CA,6487,2024-01-16,1,19940,1,0,Speeding,Dry,Snow,15.19,9.7,61.2,2.7,60494,11.11,5071,73.5,0,78.9,7.45,4.88,8.73,0,0.363,0
100017,NY,9336,2024-01-17,4,9484,0,0,Normal,Wet,Rain,6.13,4.7,39.4,29.0,109160,10.21,2957,61.1,0,72.3,2.14,6.98,5.08,0,0.465,0
100018,IL,5981,2024-01-18,4,17675,4,0,Distracted,Snow,Clear,1.44,5.3,100.2,37.2,35835,9.6,2964,61.5,0,27.4,0.11,5.3,8.08,0,0.979,1
100019,TX,8267,2024-01-19,5,16383,0,0,Impaired,Ice,Fog,9.78,2.8,2.3,17.2,53646,2.49,3920,15.6,0,84.6,7.77,3.92,3.68,0,0.172,0
100020,NY,5492,2024-01-20,1,5890,4,0,Speeding,Ice,Fog,5.86,5.0,34.7,4.8,112360,10.44,9240,35.2,0,42.8,8.22,6.22,1.25,0,0.357,0
100021,CA,8193,2024-01-21,1,23519,2,0,Normal,Snow,Snow,5.49,6.8,6.3,20.5,72335,6.38,5135,70.1,0,27.2,0.59,9.69,0.41,0,0.729,1
100022,IL,6589,2024-01-22,5,19139,3,0,Speeding,Dry,Fog,24.0,7.6,84.3,14.0,104351,5.42,6596,26.3,1,38.4,6.11,0.95,2.82,1,0.964,1
100023,NY,8652,2024-01-23,3,20494,2,0,Distracted,Dry,Snow,15.41,7.7,77.2,15.0,37429,7.46,445,18.1,0,83.6,3.78,3.9,2.44,0,0.156,0
100024,TX,4637,2024-01-24,3,2107,1,0,Distracted,Dry,Rain,13.92,6.0,36.4,24.9,76950,2.91,988,32.8,0,14.9,7.94,4.07,5.6,0,0.227,0
100025,TX,2168,2024-01-25,3,22063,0,0,Impaired,Wet,Rain,10.39,9.1,74.3,28.7,95654,9.57,9878,25.4,0,45.6,8.74,5.77,0.22,0,0.226,0
100026,FL,2063,2024-01-26,5,7073,4,0,Normal,Wet,Clear,10.72,8.3,43.6,4.4,103143,7.82,2560,74.8,1,49.2,8.51,1.52,5.21,1,0.021,0
100027,FL,3157,2024-01-27,1,17868,4,0,Normal,Ice,Rain,13.52,7.7,83.2,1.4,112527,3.87,4686,70.8,1,3.7,7.77,1.77,3.92,1,0.604,0
100028,CA,8861,2024-01-28,5,6276,0,0,Impaired,Dry,Rain,17.41,1.0,50.0,39.8,66099,3.88,1699,45.0,1,19.6,2.69,2.85,5.77,1,0.671,0
100029,NY,6162,2024-01-29,5,4176,0,0,Impaired,Snow,Clear,17.55,0.6,45.4,9.3,74385,3.84,3740,14.3,0,82.7,8.12,9.56,7.02,0,0.603,0
