crash_severity,vehicle_damage,injury_count,fatality_count,precipitation,visibility,temperature,wind_speed,median_income,unemployment_rate,population_density,educational_attainment,claim_fraud_flag,driver_behavior_Distracted,driver_behavior_Impaired,driver_behavior_Normal,driver_behavior_Speeding,weather_condition_Clear,weather_condition_Fog,weather_condition_Rain,weather_condition_Snow
1,11692,2,0,0.17,9.8,71.0,6.8,78908,4.2,3162,10.7,0,True,False,False,False,False,True,False,False
4,2946,1,0,21.92,1.1,76.1,29.2,83759,5.52,1677,67.1,1,False,False,False,True,True,False,False,False
2,9259,0,1,14.04,2.0,25.9,16.2,114171,5.72,8961,26.9,0,False,False,False,True,False,False,True,False
2,16578,3,0,0.61,2.4,82.9,12.7,95981,7.72,8216,15.8,0,False,False,False,True,False,True,False,False
2,7893,3,0,20.45,7.0,103.0,31.2,74433,3.64,951,37.3,1,False,False,True,False,False,False,False,True
1,6576,4,0,3.38,7.1,89.7,31.6,69585,5.45,8191,40.3,1,False,False,True,False,False,False,False,True
3,21232,2,0,0.77,7.8,80.4,38.0,110925,10.1,1232,46.7,0,True,False,False,False,False,True,False,False
2,16884,4,0,11.56,3.8,90.4,8.1,105434,5.27,5185,63.2,0,True,False,False,False,True,False,False,False
5,1666,3,0,24.02,8.5,0.8,21.3,65103,10.34,734,65.2,1,False,False,True,False,True,False,False,False
4,3376,3,0,2.34,7.0,19.2,30.9,77004,2.21,5202,42.9,0,False,False,False,True,False,False,False,True
5,24403,4,0,1.64,7.1,37.6,20.7,39321,11.22,5552,71.9,0,True,False,False,False,True,False,False,False
2,795,1,0,22.0,8.2,80.7,9.2,55599,7.07,1661,15.5,0,False,False,False,True,False,True,False,False
3,19515,3,0,20.53,6.3,107.6,39.8,57881,8.33,4662,34.9,0,False,True,False,False,False,True,False,False
4,22779,1,0,20.5,4.2,80.6,35.6,37737,11.55,3867,35.2,0,False,False,False,True,False,False,True,False
2,13750,4,0,11.7,0.3,52.7,23.1,87834,4.18,6721,59.8,1,True,False,False,False,False,False,False,True
4,16049,1,0,10.69,6.0,101.3,21.5,111153,11.49,7228,69.2,0,True,False,False,False,True,False,False,False
3,20025,0,0,10.03,5.6,41.5,33.6,36556,9.34,7545,60.6,0,False,False,True,False,False,True,False,False
5,24679,1,0,14.56,6.0,70.6,36.6,36286,9.9,9575,17.8,0,True,False,False,False,False,True,False,False
2,4035,2,0,18.22,3.2,0.2,32.8,86871,2.59,3818,52.0,0,False,False,False,True,False,False,True,False
4,2434,3,0,19.61,5.5,19.7,17.3,115639,10.14,200,45.7,0,False,False,True,False,False,False,True,False
1,12636,0,0,16.37,1.7,32.4,34.2,61243,10.97,7777,52.4,1,True,False,False,False,False,False,False,True
3,3649,3,0,14.06,6.5,42.6,9.0,61719,6.58,6001,10.9,0,False,True,False,False,False,False,True,False
5,6873,4,0,10.31,0.7,50.6,21.6,36951,6.04,1508,30.2,0,False,False,False,True,False,False,True,False
1,5119,3,0,8.0,8.8,87.6,12.6,67395,5.61,661,13.6,0,False,False,False,True,True,False,False,False
3,20066,3,0,7.16,2.2,30.8,4.8,47906,4.23,2378,37.0,1,False,True,False,False,False,False,True,False
4,8165,4,0,7.4,2.9,9.1,5.8,53473,4.52,8801,63.1,0,False,False,False,True,False,False,False,True
2,6038,1,0,17.07,8.8,57.4,37.5,37049,11.76,4913,29.3,0,False,False,True,False,True,False,False,False
4,18682,4,0,19.06,8.8,107.9,7.8,112078,10.49,3648,53.0,0,True,False,False,False,False,False,True,False
