crash_id,state,county_fips,crash_date,crash_severity,vehicle_damage,injury_count,fatality_count,driver_behavior,road_condition,weather_condition,precipitation,visibility,temperature,wind_speed,median_income,unemployment_rate,population_density,educational_attainment,claim_fraud_flag
100001,NY,8891,2024-01-01,1,11692,2,0,Distracted,Ice,Fog,0.17,9.8,71.0,6.8,78908,4.2,3162,10.7,0
100002,IL,5891,2024-01-02,4,2946,1,0,Speeding,Dry,Clear,21.92,1.1,76.1,29.2,83759,5.52,1677,67.1,1
100003,TX,6711,2024-01-03,2,9259,0,1,Speeding,Ice,Rain,14.04,2.0,25.9,16.2,114171,5.72,8961,26.9,0
100004,CA,5440,2024-01-04,2,16578,3,0,Speeding,Ice,Fog,0.61,2.4,82.9,12.7,95981,7.72,8216,15.8,0
100005,NY,2018,2024-01-05,2,7893,3,0,Normal,Ice,Snow,20.45,7.0,103.0,31.2,74433,3.64,951,37.3,1
100006,TX,5310,2024-01-06,1,6576,4,0,Normal,Snow,Snow,3.38,7.1,89.7,31.6,69585,5.45,8191,40.3,1
100007,TX,2547,2024-01-07,3,21232,2,0,Distracted,Ice,Fog,0.77,7.8,80.4,38.0,110925,10.1,1232,46.7,0
100008,CA,6349,2024-01-08,2,16884,4,0,Distracted,Wet,Clear,11.56,3.8,90.4,8.1,105434,5.27,5185,63.2,0
100009,IL,1271,2024-01-09,5,1666,3,0,Normal,Ice,Clear,24.02,8.5,0.8,21.3,65103,10.34,734,65.2,1
100010,IL,8725,2024-01-10,4,3376,3,0,Speeding,Wet,Snow,2.34,7.0,19.2,30.9,77004,2.21,5202,42.9,0
100011,CA,7515,2024-01-11,5,24403,4,0,Distracted,Snow,Clear,1.64,7.1,37.6,20.7,39321,11.22,5552,71.9,0
100012,FL,4519,2024-01-12,2,795,1,0,Speeding,Dry,Fog,22.0,8.2,80.7,9.2,55599,7.07,1661,15.5,0
100013,IL,2133,2024-01-13,3,19515,3,0,Impaired,Wet,Fog,20.53,6.3,107.6,39.8,57881,8.33,4662,34.9,0
100014,FL,2639,2024-01-14,4,22779,1,0,Speeding,Wet,Rain,20.5,4.2,80.6,35.6,37737,11.55,3867,35.2,0
100015,IL,5780,2024-01-15,2,13750,4,0,Distracted,Wet,Snow,11.7,0.3,52.7,23.1,87834,4.18,6721,59.8,1
100016,NY,3923,2024-01-16,4,16049,1,0,Distracted,Wet,Clear,10.69,6.0,101.3,21.5,111153,11.49,7228,69.2,0
100017,IL,3648,2024-01-17,3,20025,0,0,Normal,Ice,Fog,10.03,5.6,41.5,33.6,36556,9.34,7545,60.6,0
100018,FL,2254,2024-01-18,5,24679,1,0,Distracted,Wet,Fog,14.56,6.0,70.6,36.6,36286,9.9,9575,17.8,0
100019,IL,4968,2024-01-19,2,4035,2,0,Speeding,Snow,Rain,18.22,3.2,0.2,32.8,86871,2.59,3818,52.0,0
100020,FL,5336,2024-01-20,4,2434,3,0,Normal,Wet,Rain,19.61,5.5,19.7,17.3,115639,10.14,200,45.7,0
100021,IL,4425,2024-01-21,1,12636,0,0,Distracted,Dry,Snow,16.37,1.7,32.4,34.2,61243,10.97,7777,52.4,1
100022,CA,2106,2024-01-22,3,3649,3,0,Impaired,Wet,Rain,14.06,6.5,42.6,9.0,61719,6.58,6001,10.9,0
